Settore Merceologico;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Settore Storico Cf Preval;Superficie Vendita;Superficie Altri Usi;Superficie Tabelle Speciali;Superficie Totale
;;CSO ITALIA N. 34 (z.d. 1);CSO;ITALIA;34;526;1;speciale panificatori;0;;;0
;;CSO LODI N. 104 (z.d. 4);CSO;LODI;104;4068;4;;16;5;;21
;;CSO LODI N. 26 (z.d. 5);CSO;LODI;26;4068;5;speciale panificatori;0;;;0
;;CSO SEMPIONE N. 41 (z.d. 6);CSO;SEMPIONE;41;7137;8;;120;;;120
;;LGO SCALABRINI GIOVANNI BATTISTA N. 2 (z.d. 6);LGO;SCALABRINI GIOVANNI BATTISTA;2;5392;6;;0;;;0
;;PLE STAZIONE DI PORTA GENOVA N. 2 (z.d. 6);PLE;STAZIONE DI PORTA GENOVA;2;5120;6;speciale panificatori;36;;;36
;;"PZA ASPROMONTE N. 1 ang.lulli-7.4.08 tr.set.agrico; isolato:041; accesso: accesso esterno; (z.d. 3)";PZA;ASPROMONTE;1;2246;3;prod. agricolo alim/non alim;3;;;40
;;PZA BONOMELLI GEREMIA N. 10 (z.d. 5);PZA;BONOMELLI GEREMIA;10;4150;5;ESERCIZIO DI VICINATO;14;143;;157
;;PZA OBERDAN GUGLIELMO N. 2 (z.d. 1);PZA;OBERDAN GUGLIELMO;2;2108;1;COMMERCIO AL DETTAGLIO;190;100;;290
;;"PZA SANTA MARIA DELLE GRAZIE N. 1 comm. elettronico; (z.d. 1)";PZA;SANTA MARIA DELLE GRAZIE;1;6164;1;;0;;;0
;;"PZA VIGILI DEL FUOCO N. 10 ; isolato:091; accesso: accesso esterno; (z.d. 3)";PZA;VIGILI DEL FUOCO;10;2710;3;articoli per fumatori;10;;10;70
;;"VIA ABBA GIUSEPPE CESARE N. 32 7.4.08 tras.set.agricoltura; isolato:058; (z.d. 9)";VIA;ABBA GIUSEPPE CESARE;32;1295;9;frutta, verdura e funghi;0;;;0
;;"VIA AIRAGHI GAETANO N. 49 produttore agricolo; (z.d. 7)";VIA;AIRAGHI GAETANO;49;6330;7;produttore agricolo alimentare;0;;;0
;;VIA AIRAGHI GAETANO N. 49 (z.d. 7);VIA;AIRAGHI GAETANO;49;6330;7;coltivatore diretto comune di;0;;;0
;;"VIA ANELLI LUIGI N. 2 ; isolato:120; (z.d. 1)";VIA;ANELLI LUIGI;2;4023;1;articoli regalo;0;;;0
;;VIA ARCONATI COSTANZA N. 2 (z.d. 4);VIA;ARCONATI COSTANZA;2;3211;4;;;;;
;;VIA AUSONIO N. 23 (z.d. 1);VIA;AUSONIO;23;5093;1;speciale panificatori;0;;;0
;;VIA BENGASI N. 2 (z.d. 1);VIA;BENGASI;2;2375;2;;0;;;0
;;VIA BONCOMPAGNI CARLO N. 55 (z.d. 4);VIA;BONCOMPAGNI CARLO;55;4182;4;COMMERCIO AL DETTAGLIO;100;550;;650
;;"VIA CANONICA LUIGI N. 81 7.4.08 tras.set.agricoltura; isolato:104; (z.d. 8)";VIA;CANONICA LUIGI;81;7121;8;frutta, verdura e funghi;0;;;0
;;"VIA CASANOVA LUIGI N. 2 7.4.08 trasm.sett.agricoltura; isolato:245; (z.d. 2)";VIA;CASANOVA LUIGI;2;1197;2;frutta, verdura e funghi;0;;;0
;;VIA CASORETTO N. 8 (z.d. 3);VIA;CASORETTO;8;2420;3;;;;;
;;VIA CESANA BRUNO N. 6 (z.d. 2);VIA;CESANA BRUNO;6;2374;2;COMMERCIO AL DETTAGLIO;28;;;28
;;"VIA CIVITALI MATTEO N. 21 ; isolato:280; (z.d. 7)";VIA;CIVITALI MATTEO;21;6569;7;;0;;;0
;;VIA CONCILIO VATICANO II N. 3 (z.d. 8);VIA;CONCILIO VATICANO II;3;7356;8;;25;;;25
;;VIA CONTE ROSSO N. 21 (z.d. 3);VIA;CONTE ROSSO;21;2667;3;COMMERCIO AL DETTAGLIO;27;2;;29
;;"VIA CONTE VERDE N. 1 ; isolato:059; accesso: accesso esterno; (z.d. 7)";VIA;CONTE VERDE;1;1505;9;articoli tessili per arredamen;88;;;88
;;VIA CORRENTI CESARE N. 26 (z.d. 1);VIA;CORRENTI CESARE;26;555;1;COMMERCIO AL DETTAGLIO;4;72;;76
;;VIA D'ADDA CARLO N. 3 (z.d. 6);VIA;D'ADDA CARLO;3;5272;6;COMMERCIO AL DETTAGLIO;29;23;;52
;;VIA DANTE ALIGHIERI N. 14 (z.d. 1);VIA;DANTE ALIGHIERI;14;612;1;;;;;
;;VIA DEGLI SCIPIONI N. 7 (z.d. 3);VIA;DEGLI SCIPIONI;7;2174;3;speciale panificatori;0;;;0
;;VIA DEI TRANSITI N. 25 (z.d. 2);VIA;DEI TRANSITI;25;2284;2;COMMERCIO AL DETTAGLIO;30;;;30
;;"VIA DELLA CHIESA ROSSA N. 25 7.4.08 tras.sett.agricoltura; isolato:032; (z.d. 5)";VIA;DELLA CHIESA ROSSA;25;5321;5;fiori e piante;0;;;0
;;"VIA DELLA SPIGA N. 25 ; isolato:273; accesso: accesso esterno; (z.d. 1)";VIA;DELLA SPIGA;25;226;1;abbigliamento bambino;48;;;48
;;VIA DELLA SPIGA N. 6 (z.d. 1);VIA;DELLA SPIGA;6;226;1;;;;;
;;VIA DEL MELLA N. 5 (z.d. 7);VIA;DEL MELLA;5;6416;7;;0;;;0
;;"VIA DUDOVICH MARCELLO N. 10 7.4.08 tras.sett.agricoltura; isolato:066; (z.d. 5)";VIA;DUDOVICH MARCELLO;10;5437;5;latteria;0;;;0
;;"VIA FABRIANO N. 2 7.4.08 tras.sett. agricoltura; isolato:161; (z.d. 9)";VIA;FABRIANO;2;1642;9;frutta, verdura e funghi;0;;;0
;;VIA FONTANA N. 20 (z.d. 1);VIA;FONTANA;20;3058;1;;176;;;176
